0	8.12403840463596	200
1	8.12403840463596	277
2	8.774964387392123	343
3	9.643650760992955	434
4	10.488088481701515	571
5	11.532562594670797	725
6	12.449899597988733	889
7	13.152946437965905	994
8	13.96424004376894	1243
9	14.966629547095765	1352
10	15.165750888103101	1648
11	16.0312195418814	1905
12	16.431676725154983	2258
13	17.26267650163207	2494
14	17.916472867168917	2765
15	18.466185312619388	3156
16	19.544820285692065	3652
17	20.46948949045872	4109
18	21.563858652847824	4592
19	22.44994432064365	5261
20	23.45207879911715	5673
21	24.351591323771842	6399
